fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
6.89,0.167,0.371,2.41,0.161,21.2,67.3,0.99758,3.48,0.76,8.93,6
9.45,0.347,0.269,3.05,0.061,32.2,26.8,0.99226,3.2,0.58,10.82,6
9.61,0.746,0.121,2.0,0.126,21.4,8.6,0.99382,3.39,0.5,10.33,5
9.27,0.603,0.172,3.99,0.079,40.2,83.5,1.00068,3.33,0.73,11.57,6
7.16,0.564,0.059,1.49,0.092,7.9,43.8,0.9968,3.29,0.57,11.34,5
8.72,0.349,0.37,1.99,0.194,15.5,30.5,0.9948,3.25,0.58,11.43,5
8.52,0.254,0.272,2.07,0.069,13.7,22.3,0.99716,3.26,0.6,10.62,7
8.7,0.325,0.202,3.46,0.079,20.0,20.2,0.9947,3.31,0.79,12.14,6
9.84,0.522,0.162,2.22,0.052,17.9,47.0,0.99616,3.27,1.0,11.04,8
8.71,0.686,0.366,2.25,0.116,7.4,41.1,0.99394,3.42,0.82,9.85,5
9.5,0.692,0.418,1.01,0.061,22.4,80.0,0.9952,3.23,0.64,9.55,4
8.44,0.644,0.055,1.41,0.124,30.5,60.0,0.99591,3.55,0.51,9.67,6
8.82,0.397,0.025,3.47,0.037,17.8,66.6,0.99883,3.22,0.75,11.05,6
9.42,0.534,0.451,0.9,0.1,9.1,77.5,0.99758,3.45,0.97,9.0,6
5.78,0.472,0.009,3.87,0.058,12.9,48.6,0.99791,3.45,0.82,10.59,6
7.76,0.494,0.374,2.65,0.108,18.3,102.6,0.99665,3.33,0.67,9.53,5
7.5,0.897,0.577,1.51,0.078,8.3,25.8,0.99826,3.32,0.56,9.08,3
7.21,0.213,0.578,1.46,0.061,8.9,76.5,0.99504,3.2,0.7,9.25,7
7.84,0.488,0.41,4.97,0.066,44.3,8.5,0.99531,3.23,0.85,10.39,5
10.92,0.748,0.405,4.0,0.053,5.0,8.9,0.99747,3.34,0.68,11.24,7
6.81,0.266,0.698,2.01,0.114,16.8,17.2,0.99617,3.3,0.62,9.7,6
10.0,0.414,0.182,2.25,0.049,43.2,39.0,0.99667,3.49,0.54,13.8,7
5.39,0.435,0.431,1.58,0.069,9.2,7.7,0.99639,3.24,1.22,11.62,7
7.74,0.49,0.206,2.25,0.091,25.1,38.1,0.99908,3.25,0.51,11.42,7
8.6,0.243,0.506,1.56,0.161,9.2,31.8,0.99918,3.06,0.5,12.16,6
9.34,0.637,0.263,2.04,0.078,23.3,131.6,0.99551,3.41,0.66,10.52,5
9.56,0.65,0.295,4.78,0.07,9.2,13.8,0.99336,3.39,0.61,10.28,6
9.7,0.622,0.218,2.03,0.088,36.5,45.6,0.99535,3.46,0.82,11.87,6
7.71,0.373,0.171,1.32,0.031,7.7,59.1,0.995,3.47,0.83,11.86,6
7.52,0.546,0.166,1.14,0.046,10.5,9.2,0.99828,3.43,0.47,11.08,6
9.81,0.368,0.322,2.24,0.066,25.4,98.4,0.99845,3.43,0.53,11.36,6
7.99,0.47,0.123,1.5,0.057,14.7,65.7,0.99474,3.4,0.51,9.09,6
6.1,0.918,0.451,2.37,0.038,20.9,84.1,0.99527,3.42,0.78,10.14,6
6.35,0.547,0.394,1.02,0.115,27.0,49.9,0.99389,3.03,0.71,12.24,5
6.72,0.316,0.479,2.89,0.088,10.3,23.9,0.99696,3.15,0.58,11.28,7
9.19,0.562,0.056,1.31,0.083,13.4,12.6,0.99661,3.12,0.67,8.86,5
8.57,0.287,0.269,2.16,0.057,15.5,69.4,0.9982,3.5,0.48,9.85,5
9.52,0.314,0.821,1.82,0.081,34.4,30.7,0.99764,3.19,0.53,12.07,6
7.58,0.343,0.511,4.59,0.098,17.2,6.6,0.99786,3.22,0.46,10.91,6
8.6,0.45,0.165,2.29,0.069,8.4,32.9,0.99377,3.31,0.66,10.61,5
9.41,0.699,0.351,5.08,0.095,6.0,40.9,0.99551,3.12,0.66,10.65,4
7.78,0.634,0.408,2.72,0.055,11.5,91.8,0.9985,3.37,0.5,10.33,6
9.11,0.624,0.01,4.02,0.082,10.2,34.9,0.99568,2.99,0.71,9.86,6
7.17,0.332,0.53,1.93,0.131,28.8,41.1,0.99361,3.13,0.83,9.53,6
7.69,0.433,0.238,2.47,0.136,25.7,41.6,0.99824,3.34,0.49,11.5,5
7.66,0.579,0.253,3.66,0.142,10.7,75.4,0.9956,3.12,0.59,10.67,6
6.24,0.417,0.275,3.18,0.089,12.6,24.4,0.99872,3.5,0.72,11.18,6
9.17,0.48,0.487,2.69,0.079,6.0,54.1,0.99667,3.32,0.64,11.0,6
7.5,0.609,0.127,1.83,0.064,20.7,28.7,0.99617,3.48,0.45,11.93,5
8.34,0.467,0.331,1.97,0.035,10.7,90.5,0.99929,3.36,0.57,10.91,6
9.16,0.571,0.213,3.53,0.043,11.2,103.4,0.99422,3.31,0.57,11.3,5
9.1,0.817,0.496,3.88,0.072,14.7,45.8,0.99943,3.16,0.61,10.6,5
9.48,0.499,0.38,1.62,0.074,24.8,51.7,0.99549,3.45,0.62,9.41,5
8.15,0.742,0.468,1.51,0.147,14.7,35.4,0.99701,3.38,0.94,10.18,6
7.58,0.631,0.388,1.41,0.141,6.5,8.9,0.99703,3.62,0.61,11.05,6
8.18,0.266,0.728,3.08,0.057,15.4,41.8,0.99589,3.43,0.41,11.15,6
5.38,0.332,0.158,1.39,0.113,2.6,39.3,0.99525,3.25,0.65,11.97,7
5.8,0.38,0.346,3.06,0.063,16.6,32.3,0.996,3.35,0.99,9.93,7
6.02,0.376,0.187,2.71,0.106,13.0,35.0,0.99477,3.37,0.61,10.66,7
6.58,0.514,0.452,1.66,0.112,10.2,54.6,1.00043,3.48,0.57,10.28,5
9.02,0.641,0.258,4.28,0.137,18.5,51.8,0.99579,3.51,0.59,12.16,7
6.74,0.756,0.597,1.1,0.063,16.8,35.6,0.9989,3.29,0.74,10.82,5
7.66,0.585,0.169,4.47,0.123,17.0,95.5,0.99865,3.13,0.59,10.84,6
10.58,0.45,0.537,2.44,0.034,6.0,7.6,0.99739,3.03,0.44,10.38,5
7.7,0.155,0.383,0.9,0.14,24.3,25.3,0.99644,3.14,0.54,10.18,7
9.6,0.543,0.264,4.33,0.077,3.5,69.3,0.99707,3.22,0.63,8.87,6
6.7,0.535,0.373,3.28,0.078,8.6,10.3,0.99779,3.54,0.73,9.07,6
7.96,0.563,0.32,1.75,0.031,9.7,7.5,0.99689,3.54,0.55,10.61,6
6.67,0.909,0.338,1.37,0.066,20.2,25.0,0.99372,3.45,0.59,10.48,5
7.73,0.753,0.231,1.04,0.144,16.1,39.6,0.99325,3.49,0.64,10.62,5
9.78,0.671,0.137,6.28,0.064,8.7,29.5,0.99957,3.2,0.53,11.43,6
5.31,0.357,0.206,1.4,0.108,9.7,46.9,0.99169,3.08,0.62,10.52,6
9.08,0.438,0.43,1.2,0.079,2.2,8.1,0.99707,3.16,0.72,10.05,5
8.73,0.513,0.035,2.39,0.126,27.5,23.2,0.99625,3.0,0.47,10.2,6
7.29,0.39,0.229,1.01,0.085,19.7,62.6,0.99701,3.14,0.69,10.68,6
5.8,0.62,0.393,1.36,0.051,33.0,54.3,0.99453,3.23,0.49,10.01,5
8.45,0.594,0.429,3.31,0.08,6.7,26.6,0.99737,3.34,0.49,11.56,5
7.4,0.334,0.253,2.61,0.161,14.3,44.8,0.99709,3.33,0.54,10.41,5
8.72,0.745,0.357,1.78,0.098,20.1,39.0,1.00195,3.21,0.9,10.69,5
8.36,0.548,0.28,2.13,0.074,7.5,39.8,0.99695,3.4,0.42,9.55,5
11.11,0.219,0.525,1.73,0.215,17.4,49.4,0.99926,3.21,0.57,11.56,5
7.9,0.521,0.114,2.06,0.132,34.2,107.2,0.99385,3.31,0.63,11.96,6
6.54,0.581,0.424,1.5,0.113,11.3,108.6,0.99864,3.14,0.85,8.96,5
8.63,0.705,0.168,1.63,0.09,25.8,10.5,0.99713,3.47,1.04,10.85,7
8.7,0.469,0.24,1.61,0.108,3.8,34.2,0.99721,3.31,0.57,10.3,6
10.68,0.679,0.504,1.53,0.11,6.2,16.5,0.99724,3.41,0.73,10.72,5
9.77,0.564,0.03,3.39,0.029,9.8,52.2,0.99994,3.13,0.62,10.9,5
8.94,0.293,0.714,2.99,0.093,3.8,35.6,0.99718,3.34,0.62,11.23,6
10.87,0.275,0.111,1.39,0.073,16.6,77.2,0.99521,3.4,0.68,11.61,7
6.25,0.732,0.287,1.24,0.062,1.0,41.0,0.99553,3.0,0.43,11.73,6
7.21,0.745,0.038,1.97,0.072,11.7,98.1,0.99825,3.49,0.63,9.41,5
6.71,0.588,0.278,5.58,0.039,41.0,111.3,0.99755,3.12,0.71,10.39,5
7.64,0.799,0.245,1.33,0.035,12.5,95.9,0.99379,3.34,0.51,9.84,5
5.92,0.72,0.807,1.97,0.137,21.1,6.0,0.99768,3.58,0.71,9.76,5
9.43,0.653,0.176,2.2,0.096,29.8,49.0,0.99464,3.45,0.41,9.26,5
7.93,0.366,0.176,2.02,0.026,7.5,32.1,0.99753,3.09,0.65,10.78,5
5.76,0.842,0.454,1.72,0.06,31.9,35.6,0.99517,3.28,0.89,8.67,4
6.55,0.627,0.615,3.56,0.116,2.9,69.4,0.99617,3.5,0.6,9.37,7
8.87,0.461,0.484,2.6,0.069,11.6,33.7,0.99566,3.19,0.5,9.86,6
9.78,0.41,0.042,3.1,0.137,16.4,42.7,0.99959,3.26,0.45,11.24,6
11.79,0.576,0.311,2.76,0.125,40.4,44.3,0.99746,3.25,0.7,13.39,5
13.39,0.229,0.441,3.17,0.042,22.3,7.6,0.9991,3.4,0.8,10.74,7
9.04,0.656,0.117,4.32,0.073,19.7,30.2,1.0022,3.08,0.63,9.32,5
6.6,0.358,0.269,3.85,0.064,6.2,80.6,0.99679,3.4,0.57,9.69,5
4.61,0.597,0.355,6.03,0.042,15.0,6.5,0.99955,3.22,0.39,11.12,6
8.79,0.436,0.22,3.66,0.041,30.4,58.5,0.99537,3.31,0.66,8.98,6
6.91,0.482,0.559,1.57,0.054,2.6,21.4,0.99908,3.28,0.54,11.59,7
7.6,0.394,0.407,3.1,0.059,19.2,31.6,0.99517,3.4,0.54,10.71,5
7.25,0.501,0.392,2.91,0.089,17.5,65.9,0.99667,3.31,0.96,10.29,5
8.08,0.87,0.036,5.02,0.125,5.9,17.6,0.99772,3.53,0.41,8.62,5
10.17,0.779,0.593,1.37,0.098,34.6,33.6,0.99802,3.46,0.42,11.4,6
8.59,0.594,0.117,2.72,0.109,13.6,10.5,0.99428,3.19,0.68,9.61,5
8.04,0.525,0.6,1.56,0.069,29.2,53.5,0.99505,3.51,0.58,10.58,5
6.52,0.682,0.654,2.67,0.102,21.7,23.3,0.99786,3.36,0.56,10.25,5
5.41,0.733,0.367,1.92,0.073,31.7,13.1,0.996,3.34,0.68,8.73,6
7.47,0.381,0.466,2.63,0.064,5.7,41.0,0.99405,3.44,0.68,10.17,7
8.23,0.516,0.233,1.12,0.183,9.9,10.1,0.99657,3.15,0.5,9.12,6
11.4,0.202,0.479,3.03,0.027,18.6,30.9,0.99647,3.1,0.55,9.72,6
8.55,0.732,0.446,2.32,0.034,18.7,21.8,0.99704,3.31,0.65,10.88,6
10.03,0.902,0.038,2.27,0.093,21.6,47.1,0.99771,3.22,0.66,11.17,5
7.45,0.544,0.214,5.09,0.069,24.8,47.8,0.99758,3.62,0.72,10.4,5
6.26,0.147,0.348,1.78,0.041,18.3,24.7,0.99524,3.2,0.55,9.47,5
6.64,0.64,0.485,2.47,0.049,1.7,96.6,0.99592,3.32,0.7,9.73,6
7.06,0.367,0.495,2.21,0.052,38.3,78.1,0.99846,3.34,0.81,9.71,6
12.02,0.411,0.18,2.31,0.117,22.3,19.4,0.99567,3.49,0.65,10.5,6
6.89,0.643,0.369,5.75,0.135,11.9,148.4,0.99595,3.16,0.62,8.64,5
9.78,0.576,0.229,2.18,0.163,36.4,64.0,0.99384,3.07,0.6,10.5,5
6.75,0.442,0.316,1.64,0.038,18.1,50.6,0.99665,3.52,0.55,8.86,5
9.94,0.413,0.052,4.91,0.042,8.9,52.8,0.99736,3.32,0.5,9.13,5
8.99,0.553,0.388,1.84,0.041,24.6,15.5,0.99295,3.43,0.59,11.14,5
8.05,0.456,0.247,1.03,0.139,12.7,86.1,0.99467,3.44,0.71,10.45,6
8.25,0.33,0.23,1.52,0.094,7.3,7.7,0.994,3.46,0.51,8.4,5
7.18,0.47,0.322,1.21,0.081,7.0,52.6,0.9982,3.25,0.63,9.82,6
9.1,0.591,0.147,0.94,0.087,12.0,78.8,0.99307,3.21,0.61,10.7,5
7.53,0.498,0.628,1.8,0.076,19.3,20.7,0.99655,3.01,0.99,9.76,6
6.19,0.276,0.301,2.05,0.047,6.0,66.9,0.99806,3.16,0.76,10.05,5
6.1,0.708,0.314,3.6,0.098,7.9,43.7,0.99706,3.32,0.76,10.68,6
8.62,0.45,0.307,2.81,0.072,37.3,69.6,0.99586,3.2,0.8,10.47,6
11.07,0.418,0.461,2.75,0.045,43.7,76.6,0.99736,3.14,0.56,9.36,5
8.6,0.557,0.379,1.42,0.101,21.9,102.0,0.99867,3.32,0.9,10.44,7
8.11,0.631,0.354,3.15,0.064,24.1,88.5,0.9965,3.51,0.66,10.11,6
8.82,0.733,0.41,3.96,0.086,36.7,8.8,0.99245,3.3,0.63,12.26,6
10.59,0.402,0.256,2.53,0.074,12.6,19.8,0.99888,3.14,0.47,10.31,6
8.7,0.636,0.232,2.56,0.117,3.3,56.2,0.99746,3.5,0.58,10.56,5
7.6,0.565,0.38,1.2,0.086,40.7,77.2,0.99664,3.19,0.41,10.7,6
10.24,0.222,0.274,3.4,0.052,42.9,17.7,0.99294,3.53,0.6,10.08,5
9.07,0.872,0.381,4.72,0.09,66.6,63.2,0.99613,3.27,0.55,9.65,5
10.99,0.271,0.033,2.45,0.092,50.8,92.5,0.99504,3.33,0.58,10.91,5
8.64,0.606,0.268,1.62,0.098,16.4,75.4,0.99439,3.54,0.45,10.92,6
6.19,0.6,0.015,1.97,0.124,14.1,62.5,0.99644,3.11,0.76,12.65,7
5.94,0.58,0.344,1.75,0.059,22.6,39.1,0.99568,3.15,0.74,11.21,6
11.19,0.441,0.336,1.8,0.105,4.6,37.8,0.99581,3.26,0.97,11.23,5
11.32,0.679,0.197,2.83,0.036,8.4,133.9,0.99811,3.29,0.97,11.19,5
8.01,0.249,0.44,2.4,0.074,12.8,6.0,0.99719,3.71,0.66,9.68,6
7.65,0.518,0.313,3.33,0.069,27.6,28.3,0.99576,3.18,0.82,9.07,4
10.86,0.429,0.142,2.5,0.15,28.4,19.8,0.99552,3.11,0.68,9.35,6
6.39,0.408,0.292,1.43,0.073,13.3,13.0,0.99584,3.17,0.57,11.16,7
6.76,0.607,0.376,1.69,0.103,5.0,60.1,0.99623,3.34,0.59,11.94,7
9.44,0.724,0.354,1.64,0.035,23.9,54.9,0.99781,3.38,0.75,11.21,5
7.63,0.468,0.384,1.95,0.067,4.7,41.6,0.99472,3.2,1.77,10.24,7
8.31,0.671,0.268,4.75,0.053,9.5,54.8,0.99947,3.31,0.85,12.21,6
8.04,0.539,0.218,5.1,0.238,16.3,69.5,0.99781,3.6,0.68,9.95,5
8.91,0.369,0.066,3.08,0.058,4.3,35.3,0.9915,3.32,0.72,9.19,6
10.77,0.484,0.186,2.23,0.081,8.0,57.4,0.99686,3.36,0.72,10.69,7
8.48,0.476,0.019,1.15,0.083,26.2,33.1,0.99868,3.59,0.62,11.8,6
9.44,0.405,0.109,2.34,0.038,22.6,58.6,0.99744,3.21,0.77,9.52,5
4.75,0.607,0.287,1.48,0.062,5.5,92.8,0.99592,3.2,0.61,8.6,5
8.24,0.572,0.248,4.41,0.094,17.6,74.0,0.99658,3.24,0.5,10.46,6
6.85,0.244,0.852,1.03,0.081,3.2,113.2,0.99704,3.23,0.72,11.25,7
6.2,0.233,0.014,2.52,0.028,21.1,28.4,0.99816,3.04,0.74,11.47,7
6.79,0.606,0.246,1.43,0.06,8.6,23.8,0.99401,3.33,0.61,8.96,4
7.74,0.383,0.196,2.11,0.124,12.2,54.1,0.99555,3.34,0.69,11.2,6
9.91,0.584,0.204,2.86,0.102,15.0,29.1,0.99981,3.28,0.81,8.84,6
6.01,0.671,0.431,3.35,0.135,5.8,60.3,0.99676,3.35,0.63,11.08,6
8.37,0.301,0.185,2.06,0.05,8.1,47.1,0.9996,3.35,0.57,11.72,7
7.48,0.276,0.234,2.98,0.139,37.6,20.0,1.00237,3.11,0.53,10.41,7
7.75,0.831,0.188,1.57,0.077,11.6,55.7,0.99577,3.35,0.6,12.98,5
10.06,0.593,0.004,2.36,0.16,15.6,21.1,0.99443,3.39,0.94,9.33,6
9.26,0.455,0.146,3.32,0.078,15.8,97.0,0.9962,3.07,0.61,9.31,5
10.65,0.362,0.197,2.46,0.031,31.0,35.8,0.99879,3.53,0.7,10.1,6
8.05,0.438,0.284,1.67,0.114,23.5,23.6,0.99905,3.12,0.59,10.05,7
7.11,0.316,0.376,1.87,0.064,6.1,48.1,1.00102,3.14,0.58,10.72,5
7.93,0.689,0.225,3.34,0.066,33.4,51.6,0.99663,3.34,0.51,9.63,6
8.74,0.39,0.222,1.3,0.041,41.1,27.7,0.99763,3.39,0.65,11.03,7
8.63,0.727,0.373,1.38,0.162,6.1,26.8,0.99535,3.43,0.56,11.0,5
6.43,0.458,0.138,2.78,0.062,11.1,10.0,0.99194,3.39,0.88,12.15,6
8.48,0.342,0.412,1.74,0.159,13.0,71.5,0.99662,3.23,0.62,9.9,6
8.72,0.453,0.52,1.1,0.064,11.4,95.3,0.99451,3.33,0.63,10.78,6
12.7,0.508,0.234,3.89,0.051,21.2,78.5,0.99792,3.26,0.61,11.07,6
11.59,0.499,0.076,1.29,0.141,12.2,23.1,0.99313,3.34,0.7,10.41,5
6.84,0.678,0.267,1.94,0.076,9.7,54.7,0.9953,3.32,0.93,10.19,6
7.82,0.19,0.336,1.6,0.076,21.8,48.6,0.99721,3.23,0.49,10.51,6
5.77,0.739,0.21,1.85,0.044,2.5,12.5,0.99741,3.26,0.68,11.06,6
7.29,0.678,0.163,1.42,0.064,16.4,27.6,0.99661,3.03,0.43,10.36,6
8.87,0.755,0.377,2.92,0.095,19.6,52.2,1.00025,3.43,0.87,9.58,5
10.42,0.521,0.365,2.23,0.044,32.1,6.5,0.99968,3.35,0.62,8.62,5
7.05,0.713,0.204,3.3,0.061,14.8,17.5,0.9954,2.96,0.44,10.9,6
7.18,0.265,0.357,1.61,0.065,3.5,66.3,0.99976,3.43,0.46,10.46,6
8.04,0.658,0.124,5.53,0.08,15.4,22.5,1.00005,3.3,0.78,11.91,5
6.47,0.391,0.311,0.9,0.152,3.2,12.7,0.99646,3.17,0.42,8.87,6
7.4,0.233,0.299,1.04,0.068,18.3,76.0,0.99679,3.16,0.68,9.92,5
6.79,0.328,0.285,4.66,0.057,28.8,22.5,0.9966,3.21,0.57,9.01,6
8.16,0.531,0.368,2.62,0.269,13.5,66.6,0.99547,3.17,0.61,11.52,5
5.26,0.382,0.391,2.47,0.064,12.2,111.6,0.99566,3.19,0.54,11.75,6
5.77,0.598,0.292,2.57,0.072,23.1,17.1,0.99921,3.57,0.5,12.48,6
12.02,0.205,0.513,2.74,0.066,17.8,36.7,0.99753,3.37,0.56,10.98,7
6.08,0.147,0.348,2.42,0.069,22.1,48.9,0.99565,3.62,0.74,11.26,6
6.41,0.777,0.041,1.37,0.081,50.2,75.1,0.99494,3.34,0.59,10.89,5
11.52,0.693,0.12,3.06,0.118,10.1,27.5,0.99526,3.4,0.71,11.03,6
13.37,0.341,0.314,2.85,0.094,19.1,6.0,0.99639,3.18,0.6,10.47,5
6.28,0.529,0.399,4.03,0.127,33.8,17.1,0.99844,3.28,0.74,11.08,7
7.68,0.714,0.177,4.68,0.125,34.1,31.6,0.99507,3.3,0.71,12.71,6
8.91,0.605,0.427,2.46,0.086,20.2,66.5,0.99841,3.4,0.56,10.65,5
11.33,0.557,0.072,1.22,0.092,11.9,37.0,0.99707,3.3,0.5,10.45,5
6.6,0.727,0.099,4.7,0.129,21.9,63.7,0.99697,3.36,0.81,10.63,5
7.89,0.398,0.557,1.34,0.047,22.2,30.8,0.99865,3.36,0.52,10.26,7
9.67,0.536,0.661,2.46,0.24,24.5,45.9,0.9983,3.26,0.72,10.68,5
9.08,0.527,0.315,1.89,0.062,6.4,69.7,0.99403,3.25,0.64,10.22,5
7.67,0.481,0.149,1.74,0.067,40.4,81.6,0.99464,3.21,0.57,11.64,6
8.09,0.46,0.228,2.99,0.045,33.9,127.0,0.99626,3.47,0.71,11.54,7
5.93,0.543,0.36,2.36,0.046,13.8,50.1,0.99738,3.26,0.9,12.74,7
7.91,0.536,0.161,2.67,0.121,31.8,8.1,0.99929,3.36,0.75,10.39,7
7.86,0.341,0.543,1.47,0.217,13.2,55.9,0.99682,3.29,0.66,10.73,6
8.72,0.674,0.071,1.96,0.06,36.5,7.5,0.99994,3.47,0.96,10.68,7
7.35,0.354,0.128,1.5,0.091,15.4,60.3,0.99536,3.01,0.42,10.63,6
9.14,0.491,0.273,1.94,0.086,7.5,44.8,0.99568,3.36,0.48,11.63,6
10.08,0.477,0.324,2.01,0.122,46.1,78.9,0.99612,3.12,0.57,8.68,5
8.59,0.594,0.151,4.85,0.212,23.9,30.6,0.99515,3.37,0.91,10.91,5
8.93,0.149,0.285,1.88,0.155,12.6,46.2,0.9989,3.29,0.81,12.56,8
8.41,0.69,0.386,0.9,0.07,38.4,56.6,0.99144,3.09,0.42,11.88,5
8.32,0.408,0.643,3.97,0.099,22.0,6.0,0.99574,3.36,0.57,11.76,7
7.06,0.75,0.246,2.59,0.104,11.5,54.9,0.99888,3.34,0.46,11.32,6
8.87,0.444,0.262,2.0,0.077,38.7,6.0,0.99611,3.28,0.63,9.78,5
8.15,0.521,0.56,1.74,0.048,24.5,23.7,0.99874,3.29,0.8,9.62,6
11.96,0.874,0.166,1.38,0.055,18.1,51.2,1.00088,3.33,0.81,9.63,5
11.06,0.48,0.018,5.06,0.131,14.7,6.1,0.99685,3.49,0.68,9.2,5
8.99,0.753,0.318,2.17,0.137,7.2,62.2,0.99892,3.26,0.57,11.43,5
6.99,0.537,0.474,0.97,0.071,1.6,58.9,1.0013,3.46,0.62,11.99,7
6.38,0.605,0.339,2.45,0.088,23.0,76.7,0.99746,3.3,0.76,10.88,5
10.39,0.543,0.252,3.64,0.134,6.1,10.0,0.99661,3.5,1.15,11.28,6
8.78,0.683,0.259,2.27,0.036,7.2,124.7,0.99841,3.27,0.47,10.73,5
9.16,0.407,0.504,1.41,0.064,13.0,14.6,0.99895,3.21,0.95,11.03,7
5.28,0.353,0.036,1.36,0.194,13.2,46.0,0.99663,3.15,0.68,10.76,6
9.93,0.415,0.223,1.4,0.089,8.0,32.1,0.99578,3.3,0.78,9.96,6
9.11,0.548,0.196,4.2,0.047,23.0,37.7,0.99996,3.19,0.67,10.38,6
6.39,0.49,0.137,2.05,0.082,3.7,113.7,0.99619,3.52,0.91,10.66,6
7.5,0.658,0.317,0.99,0.124,22.7,16.5,0.99897,3.18,0.69,9.65,5
8.78,0.765,0.354,2.52,0.025,12.0,102.9,0.9972,3.21,0.54,9.27,4
8.41,0.354,0.352,2.26,0.085,7.7,68.0,1.00017,3.4,0.71,9.62,5
7.81,0.398,0.084,1.73,0.066,4.0,40.7,0.99509,3.49,0.85,8.87,5
8.14,0.271,0.32,1.34,0.037,16.4,40.4,0.99508,3.42,0.64,9.18,6
7.88,0.895,0.174,1.31,0.081,5.7,59.0,0.99832,3.47,0.38,9.33,5
8.59,0.585,0.619,3.45,0.073,5.1,30.4,0.99455,3.3,0.62,8.88,5
10.88,0.616,0.628,2.37,0.077,33.6,34.8,0.99692,3.3,0.65,10.99,5
7.91,0.289,0.648,2.63,0.067,4.6,45.8,0.99964,3.61,0.63,9.46,8
8.63,0.53,0.091,2.36,0.049,3.6,95.8,0.99331,3.56,0.56,8.43,4
